Rickshaw Carry                                        | Compound  | Forearms    | Other         | Strongman             | Beginner     | 9.6 | Dumbbell farmer's walk                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.\n Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.\n
Barbell glute bridge                                  | Compound  | Glutes      | Barbell       | Powerlifting          | Intermediate | 9.4 | Glute bridge                                  | Barbell Hip Thrust                                    | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor.\n Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet.\n Extend as far as possible, then reverse the motion to return to the starting position.\n
Clean and press                                       | Compound  | Shoulders   | Barbell       | Strength              | Intermediate | 9.4 | Military press                                | Single-arm kettlebell push-press                      | Circus Bell                                         | -                                       | -                             | -                        | -                        | -                   | -                     | Assume a shoulder-width stance, with knees inside the arms. Now while keeping the back flat, bend at the knees and hips so that you can grab the bar with the arms fully extended and a pronated grip that is slightly wider than shoulder width. Point the elbows out to sides. The bar should be close to the shins. Position the shoulders over or slightly ahead of the bar. Establish a flat back posture. This will be your starting position.\n Begin to pull the bar by extending the knees. Move your hips forward and raise the shoulders at the same rate while keeping the angle of the back constant; continue to lift the bar straight up while keeping it close to your body.\n As the bar passes the knee, extend at the ankles, knees, and hips forcefully, similar to a jumping motion. As you do so, continue to guide the bar with your hands, shrugging your shoulders and using the momentum from your movement to pull the bar as high as possible. The bar should travel close to your body, and you should keep your elbows out.\n At maximum elevation, your feet should clear the floor and you should start to pull yourself under the bar. The mechanics of this could change slightly, depending on the weight used. You should descend into a squatting position as you pull yourself under the bar.\n As the bar hits terminal height, rotate your elbows around and under the bar. Rack the bar across the front of the shoulders while keeping the torso erect and flexing the hips and knees to absorb the weight of the bar.\n Stand to full height, holding the bar in the clean position.\n Without moving your feet, press the bar overhead as you exhale. Lower the bar under control .\n
Triceps dip                                           | Compound  | Triceps     | Body Only     | Strength              | Intermediate | 9.4 | Decline Close-Grip Bench To Skull Crusher     | Feet-elevated bench dip                               | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | To get into the starting position, hold your body at arm's length with your arms nearly locked above the bars.\n Now, inhale and slowly lower yourself downward. Your torso should remain upright and your elbows should stay close to your body. This helps to better focus on tricep involvement. Lower yourself until there is a 90 degree angle formed between the upper arm and forearm.\n Then, exhale and push your torso back up using your triceps to bring your body back to the starting position.\n Repeat the movement for the prescribed amount of repetitions.\n
Dumbbell farmer's walk                                | Compound  | Forearms    | Other         | Strongman             | Intermediate | 9.4 | Rickshaw Carry                                | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements.\n After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up.\n Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible.\n
Palms-up wrist curl over bench                        | Isolation | Forearms    | Barbell       | Strength              | Intermediate | 9.4 | Palms-Up Dumbbell Wrist Curl Over A Bench     | Seated Dumbbell Palms-Up Wrist Curl                   | Seated One-Arm Dumbbell Palms-Up Wrist Curl         | -                                       | -                             | -                        | -                        | -                   | -                     | Start out by placing a barbell on one side of a flat bench.\n Kneel down on both of your knees so that your body is facing the flat bench.\n Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.\n Start out by curling your wrist upwards and exhaling.\n Slowly lower your wrists back down to the starting position while inhaling.\n Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.\n Repeat for the recommended amount of repetitions.\n
Barbell Full Squat                                    | Compound  | Quadriceps  | Barbell       | Strength              | Intermediate | 9.4 | Barbell front squat                           | Leg Press                                             | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.\n Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.\n Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position.\n Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.\n Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.\n Repeat for the recommended amount of repetitions.\n\nThis type of squat allows a greater range of motion, and allows the trunk to maintain a more vertical position than other types of squats, due to foot position and the higher bar position.
Barbell deficit deadlift                              | Compound  | Lower Back  | Barbell       | Powerlifting          | Beginner     | 9.4 | Snatch Deadlift                               | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin by having a platform or weight plates that you can stand on, usually 1-3 inches in height. Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets.\n With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.\n Lower the bar by bending at the hips and guiding it to the floor.\n
Barbell Deadlift                                      | Compound  | Hamstrings  | Barbell       | Strength              | Intermediate | 9.4 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip.\n With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward.\n After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.\n Lower the bar by bending at the hips and guiding it to the floor.\n
Single-arm palm-in dumbbell shoulder press            | Compound  | Shoulders   | Dumbbell      | Strength              | Intermediate | 9.4 | Machine Shoulder (Military) Press             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start by having a dumbbell in one hand with your arm fully extended to the side using a neutral grip. Use your other arm to hold on to an incline bench to keep your balance.\n Your feet should be shoulder width apart from each other. Now slowly lift the dumbbell up until you create a 90 degree angle with your arm. Note: Your forearm should be perpendicular to the floor. Continue to maintain a neutral grip throughout the entire exercise.\n Slowly lift the dumbbell up until your arm is fully extended. This the starting position.\n While inhaling lower the weight down until your arm is at a 90 degree angle again.\n Feel the contraction for a second and then lift the weight back up towards the starting position while exhaling. Remember to hold on to the incline bench and keep your feet positioned to keep balance during the exercise.\n Repeat for the recommended amount of repetitions.\n Switch arms and repeat the exercise.\n\nVariation: This exercise can be performed with dumbbells in each arm as the dumbbells will help to keep you balanced. This is another great way to add variety to your routines and keep them interesting.
Romanian Deadlift With Dumbbells                      | Compound  | Hamstrings  | Dumbbell      | Strength              | Beginner     | 9.4 | Romanian Deadlift with Kettlebell             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin in a standing position with a dumbbell in each hand. Ensure that your back is straight and stays that way for the duration of the exercise. Allow your arms to hang perpendicular to the floor, with the wrists pronated and the elbows pointed to your sides. This will be your starting position.\n Initiate the movement by flexing your hips, slowly pushing your butt as far back as you can. This should entail a horizontal movement of the hips, rather than a downward movement. The knees should only partially bend, and your weight should remain on your heels.\n Drive your butt back as far as you can, which should generate tension in your hamstrings as your hands approach knee level. Maintain an arch in your back throughout the exercise.\n When your hips cannot perform any further backward movement, pause, and then slowly return to the starting position by extending the hips.\n
Tire flip                                             | Compound  | Quadriceps  | Other         | Strongman             | Intermediate | 9.4 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin by gripping the bottom of the tire on the tread, and position your feet back a bit. Your chest should be driving into the tire.\n To lift the tire, extend through the hips, knees, and ankles, driving into the tire and up.\n As the tire reaches a 45 degree angle, step forward and drive a knee into the tire. As you do so adjust your grip to the upper portion of the tire and push it forward as hard as possible to complete the turn. Repeat as necessary.\n
Clean Deadlift                                        | Compound  | Hamstrings  | Barbell       | Olympic Weightlifting | Beginner     | 9.4 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible.\n Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path.\n After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended.\n
Elbow plank                                           | Isolation | Abdominals  | Body Only     | Strength              | Intermediate | 9.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder.\n Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised.\n
Bottoms Up                                            | Compound  | Abdominals  | Body Only     | Strength              | Intermediate | 9.3 | Kneeling cable crunch                         | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position.\n To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor.\n After a brief pause, return to the starting position.\n
Barbell back squat to box                             | Compound  | Quadriceps  | Barbell       | Powerlifting          | Intermediate | 9.3 | Box Squat with Bands                          | Box Squat with Chains                                 | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | The box squat allows you to squat to desired depth and develop explosive strength in the squat movement. Begin in a power rack with a box at the appropriate height behind you. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.\n Begin by stepping under the bar and placing it across the back of the shoulders. Squeeze your shoulder blades together and rotate your elbows forward, attempting to bend the bar across your shoulders. Remove the bar from the rack, creating a tight arch in your lower back, and step back into position. Place your feet wider for more emphasis on the back, glutes, adductors, and hamstrings, or closer together for more quad development. Keep your head facing forward.\n With your back, shoulders, and core tight, push your knees and butt out and you begin your descent. Sit back with your hips until you are seated on the box. Ideally, your shins should be perpendicular to the ground. Pause when you reach the box, and relax the hip flexors. Never bounce off of a box.\n Keeping the weight on your heels and pushing your feet and knees out, drive upward off of the box as you lead the movement with your head. Continue upward, maintaining tightness head to toe.\n
Clean and jerk                                        | Compound  | Shoulders   | Barbell       | Olympic Weightlifting | Intermediate | 9.3 | Single-arm kettlebell clean and jerk          | Push-jerk                                             | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | With a barbell on the floor close to the shins, take an overhand or hook grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.\n Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. Move the weight with control as you continue to above the knees.\n Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight; at the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.\n As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.\n Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.\n The second phase is the jerk, which raises the weight overhead. Standing with the weight racked on the front of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible.\n Drive through the heels create as much speed and force as possible, and be sure to move your head out of the way as the bar leaves the shoulders.\n At this moment as the feet leave the floor, the feet must be placed into the receiving position as quickly as possible. In the brief moment the feet are not actively driving against the platform, the athletes effort to push the bar up will drive them down. The feet should be split, with one foot forward, and one foot back. Receive the bar with the arms locked out overhead. Return to a standing position.\n
Single-arm kettlebell push-press                      | Compound  | Shoulders   | Kettlebells   | Strength              | Intermediate | 9.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.\n Dip your body by bending the knees, keeping your torso upright.\n Immediately reverse direction, driving through the heels, in essence jumping to create momentum. As you do so, press the kettlebell overhead to lockout by extending the arms, using your body's momentum to move the weight. Lower the weight to perform the next repetition.\n
Push-press                                            | Compound  | Quadriceps  | Barbell       | Olympic Weightlifting | Intermediate | 9.3 | Single-arm kettlebell push-press              | Behind-the-head push-press                            | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Beginning Position:\n\n Use the floor-to-shoulder lifting technique described in the Power Clean exercise to move the bar from the floor to the shoulders.\n\nUpward Movement Phase:\n\n Slightly flex the hips and knees, keeping torso erect.\n Immediately follow with an explosive push upward by extending the knees.\n Keep torso erect and tensed.\n At maximum hip and knee extension, shift body weight to balls of feet and extend ankle joints.\n At maximum plantar flexion, push bar from the shoulders.\n Push the bar with the arms to a fully extended elbow position overhead.\n\nDownward Movement Phase:\n\n Lower bar to shoulders.\n Flex hips and knees slightly as bar touches shoulders.\n Straighten the hips and knees before the upward movement phase begins again.\n\nBreathing:\n\n Exhale through the sticking point of the upward movement phase.\n Inhale during the downward movement phase.\n
Suspended ab fall-out                                 | Isolation | Abdominals  | Other         | Strength              | Intermediate | 9.3 | Bench barbell roll-out                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Adjust the straps so the handles are at an appropriate height, below waist level.\n Begin standing and grasping the handles. Lean into the straps, moving to an incline push-up position. This will be your starting position.\n Keeping your arms straight, lean further into the suspension straps, bringing your body closer to the ground, allowing your shoulders to extend, raising your arms up and over your head.\n Maintain a neutral spine and keep the rest of your body straight, your shoulders being the only joints allowed to move.\n Pause during the peak contraction, and then return to the starting position.\n
Military press                                        | Compound  | Shoulders   | Barbell       | Strength              | Intermediate | 9.3 | Machine Shoulder (Military) Press             | Barbell Shoulder Press                                | Seated dumbbell shoulder press                      | -                                       | -                             | -                        | -                        | -                   | -                     | Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other.\n Slightly bend the knees and place the barbell on your collar bone. Lift the barbell up keeping it lying on your chest. Take a step back and position your feet shoulder width apart from each other.\n Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.\n Lower the bar down to the collarbone slowly as you inhale.\n Lift the bar back up to the starting position as you exhale.\n Repeat for the recommended amount of repetitions.\n
Power snatch-                                         | Compound  | Quadriceps  | Barbell       | Olympic Weightlifting | Expert       | 9.3 | Hang Snatch                                   | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place your feet at a shoulder width stance with the barbell resting right above the connection between the toes and the rest of the foot.\n With a palms facing down grip, bend at the knees and keeping the back flat grab the bar using a wider than shoulder width grip. Bring the hips down and make sure that your body drops as if you were going to sit on a chair. This will be your starting position.\n Start pushing the floor as if it were a moving platform with your feet and simultaneously start lifting the barbell keeping it close to your legs.\n As the bar reaches the middle of your thighs, push the floor with your legs and lift your body to a complete extension in an explosive motion.\n Lift your shoulders back in a shrugging movement as you bring the bar up while lifting your elbows out to the side and keeping them above the bar for as long as possible.\n Now in a very quick but powerful motion, you have to get your body under the barbell when it has reached a high enough point where it can be controlled and drop while locking your arms and holding the barbell overhead as you assume a squat position.\n Finalize the movement by rising up out of the squat position to finish the lift. At the end of the lift both feet should be on line and the arms fully extended holding the barbell overhead.\n\nCaution: This is a very advanced exercise so be extremely careful with the weight used. Bad form on this exercise can lead to serious injury.
Sumo deadlift                                         | Compound  | Hamstrings  | Barbell       | Powerlifting          | Beginner     | 9.3 | Zercher squat                                 | Sumo Deadlift with Chains                             | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip. Relax the shoulders, which in effect lengthens your arms.\n Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees.\n As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together.\n Return the weight to the ground by bending at the hips and controlling the weight on the way down.\n
Hang Clean                                            | Compound  | Quadriceps  | Barbell       | Olympic Weightlifting | Beginner     | 9.3 | Power clean                                   | Clean                                                 | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin with a shoulder width, double overhand or hook grip, with the bar hanging at the mid thigh position. Your back should be straight and inclined slightly forward.\n Begin by aggressively extending through the hips, knees and ankles, driving the weight upward. As you do so, shrug your shoulders towards your ears. As full extension is achieved, transition into the final pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.3. Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.\n
Dumbbell V-Sit Cross Jab                              | Isolation | Abdominals  | Dumbbell      | Strength              | Intermediate | 9.3 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin seated on your butt with your knees bent and feet on the ground. Lean your upper body back to form a 45-degree angle with the floor. Bring your feet off the ground so that your body resembles a "V" shape.\n Grasp a dumbbell in each hand and hold tight to your chest with palms facing each other. This will be your starting position.\n While keeping your core tight and maintaining your body's "V" position, quickly extend your left arm straight out (similar to a jab) and then bring it back to the starting position while simultaneously punching out with the right arm.\n Your torso and legs may slightly rotate side to side opposite of your hands throughout the movement—this is okay.\n A punch with each hand counts as one total repetition. Repeat for recommended number of repetitions.\n
